userId,filmId,pref
23174,534,7
63956,534,7
125788,534,7
23478,536,8
125129,536,1
8923,538,10
39290,538,10
87624,538,10
7162,538,9
27521,538,9
25035,544,8
10886,544,7
14171,544,7
60099,544,7
60893,544,7
2948,545,10
5912,545,10
8468,545,10
18461,545,10
24082,545,10
120322,546,5
101529,547,10
52013,550,10
95205,550,10
106373,550,10
119759,550,10
14566,550,1
56132,553,10
60440,553,10
47092,553,9
66019,553,9
79868,553,9
80096,554,7
47814,554,6
31844,554,5
69740,554,5
109635,554,5
52525,555,10
59017,555,10
62648,555,10
79789,555,10
26879,555,9
116635,557,10
71063,557,6
105352,557,2
103619,558,4
111601,562,6
74508,564,5
124035,564,3
35771,564,2
55656,564,2
97018,564,1
24279,566,10
35674,566,10
103888,566,10
131976,566,10
73420,566,9
2983,568,10
116280,568,10
83955,568,8
63222,568,6
130802,568,5
88915,570,1
108318,570,1
130029,570,1
75801,572,6
15583,572,5
76040,572,5
113264,572,5
117611,572,5
76082,576,1
108318,590,6
3745,592,10
29708,592,10
14064,598,6
56792,598,6
3399,606,6
3032,607,10
4692,607,10
9468,607,10
18772,607,10
19277,607,10
52283,610,10
67657,613,8
100435,613,3
96372,614,10
77713,615,8
63025,615,4
38318,620,10
39815,620,10
105586,620,10
128339,620,10
11301,620,8
76658,621,4
90873,630,10
42257,630,2
69361,630,1
60165,634,7
72351,635,5
80545,635,4
9663,639,10
84721,639,10
127270,639,10
30816,639,7
33467,639,6
46829,641,10
52936,641,10
53886,641,10
66319,641,10
77899,641,10
76524,646,8
129366,646,6
102640,649,8
5700,649,7
31962,649,6
53878,649,6
65437,649,6
120252,650,9
6605,650,8
12981,650,8
72339,650,8
87038,650,8
87038,652,10
78203,652,4
63332,652,2
94916,652,2
114050,652,2
57397,654,6
135281,654,5
42493,655,3
61262,655,3
6380,657,10
31134,657,10
42048,657,10
48814,657,10
105260,657,10
116427,667,9
6519,667,8
54512,667,8
91486,667,8
67031,667,7
1009,669,1
3607,669,1
3705,669,1
9663,669,1
12165,669,1
55289,672,10
105362,672,10
18444,672,9
21456,672,9
54195,674,5
130937,674,5
131059,674,5
22779,674,4
64069,674,4
6960,677,9
76973,677,8
135273,677,8
7042,677,6
87451,677,6
104211,679,6
29439,679,3
40888,679,3
78590,679,3
94539,679,3
72741,688,10
22152,690,10
39351,690,9
104051,690,9
12324,690,8
74400,690,8
59136,691,2
76658,691,2
129149,691,2
58765,691,1
90854,692,5
81552,693,6
42943,695,5
45047,699,10
73968,699,10
91389,699,10
3039,699,9
38779,699,9
41674,702,6
100525,702,6
6162,703,2
27072,703,2
66158,703,2
129017,703,2
2200,703,1
62600,713,8
103347,716,9
123958,716,9
9470,716,8
50865,716,8
51372,716,8
54192,719,10
81888,719,10
29518,719,8
93710,719,6
25534,719,5
2530,720,10
7175,720,10
7290,720,10
11258,720,10
12836,720,10
114240,721,4
25839,721,3
28173,722,1
36483,723,10
75801,723,10
4094,723,9
12779,723,9
33583,723,9
20817,726,9
34599,726,9
42602,726,9
50942,726,9
77473,726,9
74411,729,10
59533,730,4
120954,732,7
28810,732,6
42180,732,6
76658,732,6
117252,735,10
107826,742,10
24702,742,6
80877,745,8
32346,746,8
27332,757,4
89645,758,7
71375,761,7
5822,761,5
14607,761,5
21523,761,5
52168,761,5
76093,762,1
65591,767,8
2353,767,4
51613,767,4
78757,767,4
39170,767,3
30850,770,4
90280,772,10
72206,772,9
134599,772,9
94592,776,10
62199,776,9
94835,776,9
102033,776,9
8147,776,7
131976,779,7
75974,779,5
49519,779,4
50787,782,4
19319,782,2
88090,782,2
91333,782,2
118395,782,2
28139,783,10
50515,783,10
25535,784,10
29038,787,7
110866,790,5
30925,790,2
55757,790,1
105190,793,7
34090,793,6
79716,793,4
127458,793,4
68818,796,3
57962,801,1
86670,802,10
41674,802,8
84064,802,8
17208,802,7
50223,804,10
107666,804,5
48169,804,4
69395,804,4
2845,804,3
42603,805,10
123823,806,6
40983,806,3
47981,806,3
82775,806,3
43147,806,2
111990,807,10
14113,807,9
67450,807,9
77522,807,9
108534,807,8
42058,814,8
54357,814,4
15180,814,1
126539,816,2
133466,819,10
43626,819,9
125876,820,2
89441,820,1
27824,822,7
119718,822,6
19826,825,10
35819,825,10
99223,825,10
131439,825,10
67029,825,8
26077,827,10
112950,827,10
130523,827,10
117367,827,8
